Local time,,Date,Time,Open,High,Low,Close,Volume
06.01.2020 16:01:00.000 GMT+0100,06.01.2020 16:01:00,06.01.2020,16:01:00,288.748,288.748,288.578,288.598,1.266
06.01.2020 16:02:00.000 GMT+0100,06.01.2020 16:02:00,06.01.2020,16:02:00,288.648,288.737,288.647,288.698,0.9015
06.01.2020 16:03:00.000 GMT+0100,06.01.2020 16:03:00,06.01.2020,16:03:00,288.698,288.848,288.697,288.727,1.2495
06.01.2020 16:04:00.000 GMT+0100,06.01.2020 16:04:00,06.01.2020,16:04:00,288.747,288.748,288.697,288.697,1.524
06.01.2020 16:05:00.000 GMT+0100,06.01.2020 16:05:00,06.01.2020,16:05:00,288.698,288.848,288.697,288.797,1.212
06.01.2020 16:06:00.000 GMT+0100,06.01.2020 16:06:00,06.01.2020,16:06:00,288.848,288.998,288.838,288.948,0.792
06.01.2020 16:07:00.000 GMT+0100,06.01.2020 16:07:00,06.01.2020,16:07:00,288.947,288.998,288.897,288.897,1.3155
06.01.2020 16:08:00.000 GMT+0100,06.01.2020 16:08:00,06.01.2020,16:08:00,288.928,288.948,288.797,288.798,1.368
06.01.2020 16:09:00.000 GMT+0100,06.01.2020 16:09:00,06.01.2020,16:09:00,288.837,288.898,288.828,288.878,1.4775
06.01.2020 16:10:00.000 GMT+0100,06.01.2020 16:10:00,06.01.2020,16:10:00,288.897,289.047,288.897,288.948,1.3335
06.01.2020 16:11:00.000 GMT+0100,06.01.2020 16:11:00,06.01.2020,16:11:00,288.947,288.948,288.797,288.798,0.5895
06.01.2020 16:12:00.000 GMT+0100,06.01.2020 16:12:00,06.01.2020,16:12:00,288.798,288.848,288.748,288.748,0.5475
06.01.2020 16:13:00.000 GMT+0100,06.01.2020 16:13:00,06.01.2020,16:13:00,288.778,288.778,288.697,288.697,1.0995
06.01.2020 16:14:00.000 GMT+0100,06.01.2020 16:14:00,06.01.2020,16:14:00,288.698,288.698,288.628,288.628,1.329
06.01.2020 16:15:00.000 GMT+0100,06.01.2020 16:15:00,06.01.2020,16:15:00,288.648,288.698,288.597,288.598,0.2625
