Local time,,Date,Time,Open,High,Low,Close,Volume
06.01.2020 18:46:00.000 GMT+0100,06.01.2020 18:46:00,06.01.2020,18:46:00,13132.19,13132.68,13131.65,13131.69,0.0263
06.01.2020 18:47:00.000 GMT+0100,06.01.2020 18:47:00,06.01.2020,18:47:00,13131.15,13131.67,13130.18,13130.18,0.0114
06.01.2020 18:48:00.000 GMT+0100,06.01.2020 18:48:00,06.01.2020,18:48:00,13130.7,13130.7,13129.16,13129.16,0.0044
06.01.2020 18:49:00.000 GMT+0100,06.01.2020 18:49:00,06.01.2020,18:49:00,13128.66,13129.8,13127.85,13128.68,0.0284
06.01.2020 18:50:00.000 GMT+0100,06.01.2020 18:50:00,06.01.2020,18:50:00,13128.18,13130.3,13128.18,13130.17,0.0176
06.01.2020 18:51:00.000 GMT+0100,06.01.2020 18:51:00,06.01.2020,18:51:00,13130.8,13130.8,13127.15,13127.15,0.0117
06.01.2020 18:52:00.000 GMT+0100,06.01.2020 18:52:00,06.01.2020,18:52:00,13126.69,13127.8,13123.19,13123.19,0.0377
06.01.2020 18:53:00.000 GMT+0100,06.01.2020 18:53:00,06.01.2020,18:53:00,13123.39,13125.67,13123.2,13124.15,0.0333
06.01.2020 18:54:00.000 GMT+0100,06.01.2020 18:54:00,06.01.2020,18:54:00,13123.65,13124.2,13122.65,13123.2,0.0315
06.01.2020 18:55:00.000 GMT+0100,06.01.2020 18:55:00,06.01.2020,18:55:00,13122.86,13125.38,13122.86,13125.18,0.0244
06.01.2020 18:56:00.000 GMT+0100,06.01.2020 18:56:00,06.01.2020,18:56:00,13124.67,13125.36,13123.16,13123.4,0.0235
06.01.2020 18:57:00.000 GMT+0100,06.01.2020 18:57:00,06.01.2020,18:57:00,13123.4,13124.5,13122.67,13124.5,0.0242
06.01.2020 18:58:00.000 GMT+0100,06.01.2020 18:58:00,06.01.2020,18:58:00,13124.65,13126.86,13124.65,13126.36,0.0278
06.01.2020 18:59:00.000 GMT+0100,06.01.2020 18:59:00,06.01.2020,18:59:00,13126.2,13126.86,13125.65,13126.67,0.0189
06.01.2020 19:00:00.000 GMT+0100,06.01.2020 19:00:00,06.01.2020,19:00:00,13126.67,13127.69,13125.66,13127.38,0.0276
06.01.2020 19:01:00.000 GMT+0100,06.01.2020 19:01:00,06.01.2020,19:01:00,13127.16,13128.68,13127.16,13128.2,0.0246
06.01.2020 19:02:00.000 GMT+0100,06.01.2020 19:02:00,06.01.2020,19:02:00,13127.89,13129.17,13127.67,13129.17,0.0141
06.01.2020 19:03:00.000 GMT+0100,06.01.2020 19:03:00,06.01.2020,19:03:00,13128.9,13129.3,13128.65,13129.17,0.0231
06.01.2020 19:04:00.000 GMT+0100,06.01.2020 19:04:00,06.01.2020,19:04:00,13129.37,13129.66,13128.7,13129.2,0.0255
06.01.2020 19:05:00.000 GMT+0100,06.01.2020 19:05:00,06.01.2020,19:05:00,13128.85,13129.8,13128.66,13129.16,0.0263
06.01.2020 19:06:00.000 GMT+0100,06.01.2020 19:06:00,06.01.2020,19:06:00,13129.35,13135.15,13129.15,13133.66,0.0417
06.01.2020 19:07:00.000 GMT+0100,06.01.2020 19:07:00,06.01.2020,19:07:00,13133.37,13133.86,13132.35,13133.15,0.0339
06.01.2020 19:08:00.000 GMT+0100,06.01.2020 19:08:00,06.01.2020,19:08:00,13132.88,13133.18,13132.17,13132.86,0.0235
06.01.2020 19:09:00.000 GMT+0100,06.01.2020 19:09:00,06.01.2020,19:09:00,13132.69,13132.69,13130.66,13130.88,0.0146
06.01.2020 19:10:00.000 GMT+0100,06.01.2020 19:10:00,06.01.2020,19:10:00,13131.15,13132.15,13130.69,13131.5,0.0181
06.01.2020 19:11:00.000 GMT+0100,06.01.2020 19:11:00,06.01.2020,19:11:00,13131.7,13132.39,13131.37,13132.18,0.0186
06.01.2020 19:12:00.000 GMT+0100,06.01.2020 19:12:00,06.01.2020,19:12:00,13132.65,13132.69,13132.2,13132.69,0.0026
06.01.2020 19:13:00.000 GMT+0100,06.01.2020 19:13:00,06.01.2020,19:13:00,13133,13133.8,13132.65,13133.3,0.0349
06.01.2020 19:14:00.000 GMT+0100,06.01.2020 19:14:00,06.01.2020,19:14:00,13133.68,13133.68,13132.15,13132.87,0.0177
